regime,method,shot,negative_shot,support_protocol,seed,temperature,threshold,metric,value
single_label,positive_prototype,1,20,abundant_controls,2,0.1,nan,accuracy,0.4059999883174896
single_label,positive_prototype,1,20,abundant_controls,2,0.1,nan,nll,1.1098432540893555
single_label,positive_prototype,1,20,abundant_controls,2,0.1,nan,calibration_error,0.06629385054111481
single_label,positive_prototype,1,20,abundant_controls,3,0.1,nan,auroc,0.5758453408877054
single_label,positive_prototype,1,20,abundant_controls,3,0.1,nan,auprc,0.3984251320362091
single_label,positive_prototype,1,20,abundant_controls,3,0.1,nan,macro_f1,0.394208828608195
single_label,positive_prototype,1,20,abundant_controls,3,0.1,nan,accuracy,0.3959999978542328
single_label,positive_prototype,1,20,abundant_controls,3,0.1,nan,nll,1.113963007926941
single_label,positive_prototype,1,20,abundant_controls,3,0.1,nan,calibration_error,0.07314794510602951
single_label,positive_prototype,1,20,abundant_controls,4,0.1,nan,auroc,0.5628133416175842
single_label,positive_prototype,1,20,abundant_controls,4,0.1,nan,auprc,0.3789304991563161
single_label,positive_prototype,1,20,abundant_controls,4,0.1,nan,macro_f1,0.37727774182955426
single_label,positive_prototype,1,20,abundant_controls,4,0.1,nan,accuracy,0.3786666691303253
single_label,positive_prototype,1,20,abundant_controls,4,0.1,nan,nll,1.122745156288147
single_label,positive_prototype,1,20,abundant_controls,4,0.1,nan,calibration_error,0.08959735929965973
single_label,global_negative_centroid,1,20,abundant_controls,0,0.5,nan,auroc,0.5922606587409973
single_label,global_negative_centroid,1,20,abundant_controls,0,0.5,nan,auprc,0.41168930133183795
single_label,global_negative_centroid,1,20,abundant_controls,0,0.5,nan,macro_f1,0.40972814957300824
single_label,global_negative_centroid,1,20,abundant_controls,0,0.5,nan,accuracy,0.4099999964237213
single_label,global_negative_centroid,1,20,abundant_controls,0,0.5,nan,nll,1.0900249481201172
single_label,global_negative_centroid,1,20,abundant_controls,0,0.5,nan,calibration_error,0.06640924513339996
single_label,global_negative_centroid,1,20,abundant_controls,1,0.5,nan,auroc,0.5964893301328024
single_label,global_negative_centroid,1,20,abundant_controls,1,0.5,nan,auprc,0.41254990299542743
single_label,global_negative_centroid,1,20,abundant_controls,1,0.5,nan,macro_f1,0.40836219986279804
single_label,global_negative_centroid,1,20,abundant_controls,1,0.5,nan,accuracy,0.4086666703224182
single_label,global_negative_centroid,1,20,abundant_controls,1,0.5,nan,nll,1.0863157510757446
single_label,global_negative_centroid,1,20,abundant_controls,1,0.5,nan,calibration_error,0.06897062063217163
single_label,global_negative_centroid,1,20,abundant_controls,2,0.5,nan,auroc,0.5933026671409607
single_label,global_negative_centroid,1,20,abundant_controls,2,0.5,nan,auprc,0.4093078374862671
single_label,global_negative_centroid,1,20,abundant_controls,2,0.5,nan,macro_f1,0.41417678197224933
single_label,global_negative_centroid,1,20,abundant_controls,2,0.5,nan,accuracy,0.414000004529953
single_label,global_negative_centroid,1,20,abundant_controls,2,0.5,nan,nll,1.0885323286056519
single_label,global_negative_centroid,1,20,abundant_controls,2,0.5,nan,calibration_error,0.0691433772444725
single_label,global_negative_centroid,1,20,abundant_controls,3,0.5,nan,auroc,0.5957340002059937
single_label,global_negative_centroid,1,20,abundant_controls,3,0.5,nan,auprc,0.412814458211263
single_label,global_negative_centroid,1,20,abundant_controls,3,0.5,nan,macro_f1,0.4191489319006602
single_label,global_negative_centroid,1,20,abundant_controls,3,0.5,nan,accuracy,0.42133334279060364
single_label,global_negative_centroid,1,20,abundant_controls,3,0.5,nan,nll,1.0885555744171143
single_label,global_negative_centroid,1,20,abundant_controls,3,0.5,nan,calibration_error,0.06433264911174774
single_label,global_negative_centroid,1,20,abundant_controls,4,0.5,nan,auroc,0.5760239958763123
single_label,global_negative_centroid,1,20,abundant_controls,4,0.5,nan,auprc,0.38444845875104267
single_label,global_negative_centroid,1,20,abundant_controls,4,0.5,nan,macro_f1,0.39005229870478314
single_label,global_negative_centroid,1,20,abundant_controls,4,0.5,nan,accuracy,0.38999998569488525
single_label,global_negative_centroid,1,20,abundant_controls,4,0.5,nan,nll,1.1058531999588013
single_label,global_negative_centroid,1,20,abundant_controls,4,0.5,nan,calibration_error,0.08541623502969742
single_label,random_residual,1,20,abundant_controls,0,1.0,nan,auroc,0.5326226552327474
single_label,random_residual,1,20,abundant_controls,0,1.0,nan,auprc,0.3703930874665578
single_label,random_residual,1,20,abundant_controls,0,1.0,nan,macro_f1,0.3652925988038381
single_label,random_residual,1,20,abundant_controls,0,1.0,nan,accuracy,0.36533331871032715
single_label,random_residual,1,20,abundant_controls,0,1.0,nan,nll,1.1008906364440918
single_label,random_residual,1,20,abundant_controls,0,1.0,nan,calibration_error,0.030874622985720634
single_label,random_residual,1,20,abundant_controls,1,1.0,nan,auroc,0.5432929992675781
