regime,method,shot,negative_shot,support_protocol,seed,temperature,threshold,class,metric,value
single_label,global_negative_centroid,1,1,balanced,0,0.5,nan,No Finding,auprc,0.3566077649593353
single_label,global_negative_centroid,1,1,balanced,0,0.5,nan,No Finding,f1,0.3371017575263977
single_label,global_negative_centroid,1,1,balanced,0,0.5,nan,No Finding,accuracy,0.5699999928474426
single_label,global_negative_centroid,1,1,balanced,0,0.5,nan,No Finding,nll,0.6547608375549316
single_label,global_negative_centroid,1,1,balanced,0,0.5,nan,No Finding,calibration_error,0.07804284244775772
single_label,global_negative_centroid,1,1,balanced,0,0.5,nan,Fracture,auroc,0.5810160040855408
single_label,global_negative_centroid,1,1,balanced,0,0.5,nan,Fracture,auprc,0.4036801755428314
single_label,global_negative_centroid,1,1,balanced,0,0.5,nan,Fracture,f1,0.4183864891529083
single_label,global_negative_centroid,1,1,balanced,0,0.5,nan,Fracture,accuracy,0.5866666436195374
single_label,global_negative_centroid,1,1,balanced,0,0.5,nan,Fracture,nll,0.6300054788589478
single_label,global_negative_centroid,1,1,balanced,0,0.5,nan,Fracture,calibration_error,0.024099763482809067
single_label,global_negative_centroid,1,1,balanced,0,0.5,nan,Cardiomegaly,auroc,0.5928679704666138
single_label,global_negative_centroid,1,1,balanced,0,0.5,nan,Cardiomegaly,auprc,0.3980986177921295
single_label,global_negative_centroid,1,1,balanced,0,0.5,nan,Cardiomegaly,f1,0.40582725405693054
single_label,global_negative_centroid,1,1,balanced,0,0.5,nan,Cardiomegaly,accuracy,0.6193333268165588
single_label,global_negative_centroid,1,1,balanced,0,0.5,nan,Cardiomegaly,nll,0.6269203424453735
single_label,global_negative_centroid,1,1,balanced,0,0.5,nan,Cardiomegaly,calibration_error,0.029014049097895622
single_label,global_negative_centroid,1,1,balanced,1,0.5,nan,No Finding,auroc,0.5058280229568481
single_label,global_negative_centroid,1,1,balanced,1,0.5,nan,No Finding,auprc,0.3479238748550415
single_label,global_negative_centroid,1,1,balanced,1,0.5,nan,No Finding,f1,0.34510594606399536
single_label,global_negative_centroid,1,1,balanced,1,0.5,nan,No Finding,accuracy,0.5673333406448364
single_label,global_negative_centroid,1,1,balanced,1,0.5,nan,No Finding,nll,0.6562174558639526
single_label,global_negative_centroid,1,1,balanced,1,0.5,nan,No Finding,calibration_error,0.06977581232786179
single_label,global_negative_centroid,1,1,balanced,1,0.5,nan,Fracture,auroc,0.5917779803276062
single_label,global_negative_centroid,1,1,balanced,1,0.5,nan,Fracture,auprc,0.40875181555747986
single_label,global_negative_centroid,1,1,balanced,1,0.5,nan,Fracture,f1,0.41626331210136414
single_label,global_negative_centroid,1,1,balanced,1,0.5,nan,Fracture,accuracy,0.5979999899864197
single_label,global_negative_centroid,1,1,balanced,1,0.5,nan,Fracture,nll,0.6267816424369812
single_label,global_negative_centroid,1,1,balanced,1,0.5,nan,Fracture,calibration_error,0.025783486664295197
single_label,global_negative_centroid,1,1,balanced,1,0.5,nan,Cardiomegaly,auroc,0.5663999915122986
single_label,global_negative_centroid,1,1,balanced,1,0.5,nan,Cardiomegaly,auprc,0.38052430748939514
single_label,global_negative_centroid,1,1,balanced,1,0.5,nan,Cardiomegaly,f1,0.3709016442298889
single_label,global_negative_centroid,1,1,balanced,1,0.5,nan,Cardiomegaly,accuracy,0.590666651725769
single_label,global_negative_centroid,1,1,balanced,1,0.5,nan,Cardiomegaly,nll,0.6348798274993896
single_label,global_negative_centroid,1,1,balanced,1,0.5,nan,Cardiomegaly,calibration_error,0.03869372606277466
single_label,global_negative_centroid,1,1,balanced,2,0.5,nan,No Finding,auroc,0.5195040106773376
single_label,global_negative_centroid,1,1,balanced,2,0.5,nan,No Finding,auprc,0.35289499163627625
single_label,global_negative_centroid,1,1,balanced,2,0.5,nan,No Finding,f1,0.35907724499702454
single_label,global_negative_centroid,1,1,balanced,2,0.5,nan,No Finding,accuracy,0.5740000009536743
single_label,global_negative_centroid,1,1,balanced,2,0.5,nan,No Finding,nll,0.6535666584968567
single_label,global_negative_centroid,1,1,balanced,2,0.5,nan,No Finding,calibration_error,0.0681825503706932
single_label,global_negative_centroid,1,1,balanced,2,0.5,nan,Fracture,auroc,0.5815939903259277
single_label,global_negative_centroid,1,1,balanced,2,0.5,nan,Fracture,auprc,0.3881073594093323
single_label,global_negative_centroid,1,1,balanced,2,0.5,nan,Fracture,f1,0.42692306637763977
single_label,global_negative_centroid,1,1,balanced,2,0.5,nan,Fracture,accuracy,0.6026666760444641
single_label,global_negative_centroid,1,1,balanced,2,0.5,nan,Fracture,nll,0.6305848956108093
single_label,global_negative_centroid,1,1,balanced,2,0.5,nan,Fracture,calibration_error,0.02903299406170845
single_label,global_negative_centroid,1,1,balanced,2,0.5,nan,Cardiomegaly,auroc,0.6047880053520203
single_label,global_negative_centroid,1,1,balanced,2,0.5,nan,Cardiomegaly,auprc,0.435611754655838
single_label,global_negative_centroid,1,1,balanced,2,0.5,nan,Cardiomegaly,f1,0.4132917821407318
single_label,global_negative_centroid,1,1,balanced,2,0.5,nan,Cardiomegaly,accuracy,0.6233333349227905
single_label,global_negative_centroid,1,1,balanced,2,0.5,nan,Cardiomegaly,nll,0.6218457818031311
single_label,global_negative_centroid,1,1,balanced,2,0.5,nan,Cardiomegaly,calibration_error,0.01881203055381775
single_label,global_negative_centroid,1,1,balanced,3,0.5,nan,No Finding,auroc,0.4914399981498718
single_label,global_negative_centroid,1,1,balanced,3,0.5,nan,No Finding,auprc,0.3306650221347809
single_label,global_negative_centroid,1,1,balanced,3,0.5,nan,No Finding,f1,0.32392895221710205
single_label,global_negative_centroid,1,1,balanced,3,0.5,nan,No Finding,accuracy,0.5686666369438171
single_label,global_negative_centroid,1,1,balanced,3,0.5,nan,No Finding,nll,0.6632693409919739
single_label,global_negative_centroid,1,1,balanced,3,0.5,nan,No Finding,calibration_error,0.09612434357404709
single_label,global_negative_centroid,1,1,balanced,3,0.5,nan,Fracture,auroc,0.5733699798583984
single_label,global_negative_centroid,1,1,balanced,3,0.5,nan,Fracture,auprc,0.38623544573783875
single_label,global_negative_centroid,1,1,balanced,3,0.5,nan,Fracture,f1,0.39921337366104126
single_label,global_negative_centroid,1,1,balanced,3,0.5,nan,Fracture,accuracy,0.5926666855812073
single_label,global_negative_centroid,1,1,balanced,3,0.5,nan,Fracture,nll,0.6321048140525818
single_label,global_negative_centroid,1,1,balanced,3,0.5,nan,Fracture,calibration_error,0.026765868067741394
single_label,global_negative_centroid,1,1,balanced,3,0.5,nan,Cardiomegaly,auroc,0.5874279737472534
single_label,global_negative_centroid,1,1,balanced,3,0.5,nan,Cardiomegaly,auprc,0.41558969020843506
single_label,global_negative_centroid,1,1,balanced,3,0.5,nan,Cardiomegaly,f1,0.4307992160320282
single_label,global_negative_centroid,1,1,balanced,3,0.5,nan,Cardiomegaly,accuracy,0.6106666922569275
single_label,global_negative_centroid,1,1,balanced,3,0.5,nan,Cardiomegaly,nll,0.6282792091369629
single_label,global_negative_centroid,1,1,balanced,3,0.5,nan,Cardiomegaly,calibration_error,0.028776561841368675
single_label,global_negative_centroid,1,1,balanced,4,0.5,nan,No Finding,auroc,0.4947560131549835
single_label,global_negative_centroid,1,1,balanced,4,0.5,nan,No Finding,auprc,0.34049925208091736
single_label,global_negative_centroid,1,1,balanced,4,0.5,nan,No Finding,f1,0.3178137540817261
single_label,global_negative_centroid,1,1,balanced,4,0.5,nan,No Finding,accuracy,0.5506666898727417
single_label,global_negative_centroid,1,1,balanced,4,0.5,nan,No Finding,nll,0.6595543622970581
single_label,global_negative_centroid,1,1,balanced,4,0.5,nan,No Finding,calibration_error,0.08159642666578293
single_label,global_negative_centroid,1,1,balanced,4,0.5,nan,Fracture,auroc,0.5619869828224182
single_label,global_negative_centroid,1,1,balanced,4,0.5,nan,Fracture,auprc,0.38048675656318665
single_label,global_negative_centroid,1,1,balanced,4,0.5,nan,Fracture,f1,0.37428024411201477
single_label,global_negative_centroid,1,1,balanced,4,0.5,nan,Fracture,accuracy,0.5653333067893982
single_label,global_negative_centroid,1,1,balanced,4,0.5,nan,Fracture,nll,0.6371039748191833
single_label,global_negative_centroid,1,1,balanced,4,0.5,nan,Fracture,calibration_error,0.04312180355191231
single_label,global_negative_centroid,1,1,balanced,4,0.5,nan,Cardiomegaly,auroc,0.5696200132369995
single_label,global_negative_centroid,1,1,balanced,4,0.5,nan,Cardiomegaly,auprc,0.3889446258544922
single_label,global_negative_centroid,1,1,balanced,4,0.5,nan,Cardiomegaly,f1,0.3855670094490051
single_label,global_negative_centroid,1,1,balanced,4,0.5,nan,Cardiomegaly,accuracy,0.6026666760444641
single_label,global_negative_centroid,1,1,balanced,4,0.5,nan,Cardiomegaly,nll,0.6353031992912292
single_label,global_negative_centroid,1,1,balanced,4,0.5,nan,Cardiomegaly,calibration_error,0.04124084860086441
single_label,random_residual,1,1,balanced,0,0.5,nan,No Finding,auroc,0.5123040080070496
single_label,random_residual,1,1,balanced,0,0.5,nan,No Finding,auprc,0.3566077649593353
single_label,random_residual,1,1,balanced,0,0.5,nan,No Finding,f1,0.3371017575263977
single_label,random_residual,1,1,balanced,0,0.5,nan,No Finding,accuracy,0.5699999928474426
single_label,random_residual,1,1,balanced,0,0.5,nan,No Finding,nll,0.6547608375549316
single_label,random_residual,1,1,balanced,0,0.5,nan,No Finding,calibration_error,0.07804284244775772
single_label,random_residual,1,1,balanced,0,0.5,nan,Fracture,auroc,0.5810160040855408
single_label,random_residual,1,1,balanced,0,0.5,nan,Fracture,auprc,0.4036801755428314
single_label,random_residual,1,1,balanced,0,0.5,nan,Fracture,f1,0.4183864891529083
single_label,random_residual,1,1,balanced,0,0.5,nan,Fracture,accuracy,0.5866666436195374
single_label,random_residual,1,1,balanced,0,0.5,nan,Fracture,nll,0.6300054788589478
