regime,method,shot,negative_shot,support_protocol,temperature,threshold,metric,mean,std
single_label,random_residual,5,5,balanced,0.5,nan,nll,1.09362735748291,0.007887751474006504
single_label,random_residual,5,5,balanced,0.5,nan,calibration_error,0.06493926793336868,0.008656200137222925
single_label,metadata_matched_residual,5,5,balanced,0.5,nan,auroc,0.5792430698871612,0.010177599797740381
single_label,metadata_matched_residual,5,5,balanced,0.5,nan,auprc,0.39775198499361675,0.006351301355706937
single_label,metadata_matched_residual,5,5,balanced,0.5,nan,macro_f1,0.3984632094701131,0.01665439208139272
single_label,metadata_matched_residual,5,5,balanced,0.5,nan,accuracy,0.3990666687488556,0.016462754515421597
single_label,metadata_matched_residual,5,5,balanced,0.5,nan,nll,1.1051423311233521,0.007998045928991839
single_label,metadata_matched_residual,5,5,balanced,0.5,nan,calibration_error,0.08571509271860123,0.01138350779182261
single_label,full_embedding_matched_residual,5,5,balanced,0.2,nan,auroc,0.6039177278677622,0.008700330441899402
single_label,full_embedding_matched_residual,5,5,balanced,0.2,nan,auprc,0.4224421004454295,0.010388392000066722
single_label,full_embedding_matched_residual,5,5,balanced,0.2,nan,macro_f1,0.42335615555445355,0.009266203899811252
single_label,full_embedding_matched_residual,5,5,balanced,0.2,nan,accuracy,0.4245333313941956,0.008911915998750148
single_label,full_embedding_matched_residual,5,5,balanced,0.2,nan,nll,1.2157238483428956,0.013875383987278516
single_label,full_embedding_matched_residual,5,5,balanced,0.2,nan,calibration_error,0.18846309781074524,0.006981765151910617
single_label,anatomy_matched_residual,5,5,balanced,0.2,nan,auroc,0.6112661361694336,0.008683395912470573
single_label,anatomy_matched_residual,5,5,balanced,0.2,nan,auprc,0.42802040378252665,0.011014278227517223
single_label,anatomy_matched_residual,5,5,balanced,0.2,nan,macro_f1,0.4290982186794281,0.005978517016149717
single_label,anatomy_matched_residual,5,5,balanced,0.2,nan,accuracy,0.43079999685287473,0.006555744837693217
single_label,anatomy_matched_residual,5,5,balanced,0.2,nan,nll,1.222379732131958,0.015292293733662067
single_label,anatomy_matched_residual,5,5,balanced,0.2,nan,calibration_error,0.1938413679599762,0.0067012782495676874
single_label,shuffled_anatomy_match,5,5,balanced,0.2,nan,auroc,0.6177774012088776,0.007588193718924031
single_label,shuffled_anatomy_match,5,5,balanced,0.2,nan,auprc,0.43262447516123453,0.010220794670647007
single_label,shuffled_anatomy_match,5,5,balanced,0.2,nan,macro_f1,0.4335902949174245,0.005918849746148324
single_label,shuffled_anatomy_match,5,5,balanced,0.2,nan,accuracy,0.43546666502952575,0.005857563896994965
single_label,shuffled_anatomy_match,5,5,balanced,0.2,nan,nll,1.2073998689651488,0.01365409167468884
single_label,shuffled_anatomy_match,5,5,balanced,0.2,nan,calibration_error,0.1880941390991211,0.006444753912556155
single_label,positive_prototype,5,20,abundant_controls,0.05,nan,auroc,0.6565159996350606,0.006014799476957728
single_label,positive_prototype,5,20,abundant_controls,0.05,nan,auprc,0.4712635934352875,0.011422756563025141
single_label,positive_prototype,5,20,abundant_controls,0.05,nan,macro_f1,0.46065436402956644,0.005667652775088212
single_label,positive_prototype,5,20,abundant_controls,0.05,nan,accuracy,0.46320000290870667,0.004953113107437341
single_label,positive_prototype,5,20,abundant_controls,0.05,nan,nll,1.0245498418807983,0.006554753611511145
single_label,positive_prototype,5,20,abundant_controls,0.05,nan,calibration_error,0.020135710947215557,0.005059565904158883
single_label,global_negative_centroid,5,20,abundant_controls,0.2,nan,auroc,0.6419791976610819,0.003960826226259753
single_label,global_negative_centroid,5,20,abundant_controls,0.2,nan,auprc,0.45371534625689186,0.007589197657328804
single_label,global_negative_centroid,5,20,abundant_controls,0.2,nan,macro_f1,0.45286477406819664,0.006519729162060491
single_label,global_negative_centroid,5,20,abundant_controls,0.2,nan,accuracy,0.45693333745002745,0.005469104908409793
single_label,global_negative_centroid,5,20,abundant_controls,0.2,nan,nll,1.1957707405090332,0.012477163633084425
single_label,global_negative_centroid,5,20,abundant_controls,0.2,nan,calibration_error,0.1979221761226654,0.007732328878191901
single_label,random_residual,5,20,abundant_controls,0.5,nan,auroc,0.5852380673090617,0.007918435016231504
single_label,random_residual,5,20,abundant_controls,0.5,nan,auprc,0.40457094510396324,0.009750455014673443
single_label,random_residual,5,20,abundant_controls,0.5,nan,macro_f1,0.4071344077587128,0.011009479560675873
single_label,random_residual,5,20,abundant_controls,0.5,nan,accuracy,0.40799999237060547,0.01074967413908842
single_label,random_residual,5,20,abundant_controls,0.5,nan,nll,1.09362735748291,0.007887751474006504
single_label,random_residual,5,20,abundant_controls,0.5,nan,calibration_error,0.06493926793336868,0.008656200137222925
single_label,metadata_matched_residual,5,20,abundant_controls,0.5,nan,auroc,0.6042615254720052,0.006905006549611175
single_label,metadata_matched_residual,5,20,abundant_controls,0.5,nan,auprc,0.41953757405281067,0.0070745590687674685
single_label,metadata_matched_residual,5,20,abundant_controls,0.5,nan,macro_f1,0.41617464621861777,0.008126052073931649
single_label,metadata_matched_residual,5,20,abundant_controls,0.5,nan,accuracy,0.4184000015258789,0.008826728395556798
single_label,metadata_matched_residual,5,20,abundant_controls,0.5,nan,nll,1.0749867916107179,0.006773145024985008
single_label,metadata_matched_residual,5,20,abundant_controls,0.5,nan,calibration_error,0.05393811240792275,0.009181651277228071
single_label,full_embedding_matched_residual,5,20,abundant_controls,0.2,nan,auroc,0.6241767982641856,0.0039475515202016176
single_label,full_embedding_matched_residual,5,20,abundant_controls,0.2,nan,auprc,0.43883824745814004,0.006977171022804268
single_label,full_embedding_matched_residual,5,20,abundant_controls,0.2,nan,macro_f1,0.43150608936945595,0.0033049230732871623
single_label,full_embedding_matched_residual,5,20,abundant_controls,0.2,nan,accuracy,0.43426666259765623,0.00369984481475517
single_label,full_embedding_matched_residual,5,20,abundant_controls,0.2,nan,nll,1.1987380504608154,0.010262103431823055
single_label,full_embedding_matched_residual,5,20,abundant_controls,0.2,nan,calibration_error,0.19924385249614715,0.0036092482893364712
single_label,anatomy_matched_residual,5,20,abundant_controls,0.2,nan,auroc,0.6349253296852112,0.003940532032095705
single_label,anatomy_matched_residual,5,20,abundant_controls,0.2,nan,auprc,0.448042364915212,0.007126865895510895
single_label,anatomy_matched_residual,5,20,abundant_controls,0.2,nan,macro_f1,0.44532833298047386,0.002994026338805852
single_label,anatomy_matched_residual,5,20,abundant_controls,0.2,nan,accuracy,0.4490666687488556,0.002431277966898459
single_label,anatomy_matched_residual,5,20,abundant_controls,0.2,nan,nll,1.2213653802871705,0.011748886102991752
single_label,anatomy_matched_residual,5,20,abundant_controls,0.2,nan,calibration_error,0.20957373678684235,0.00398731508500267
single_label,shuffled_anatomy_match,5,20,abundant_controls,0.2,nan,auroc,0.6401625335216522,0.004592388768802811
single_label,shuffled_anatomy_match,5,20,abundant_controls,0.2,nan,auprc,0.4527081251144409,0.007686274030947056
single_label,shuffled_anatomy_match,5,20,abundant_controls,0.2,nan,macro_f1,0.4503937602043152,0.005348954477007441
single_label,shuffled_anatomy_match,5,20,abundant_controls,0.2,nan,accuracy,0.45453333854675293,0.004432207553664708
single_label,shuffled_anatomy_match,5,20,abundant_controls,0.2,nan,nll,1.1989042997360229,0.013160695936905234
single_label,shuffled_anatomy_match,5,20,abundant_controls,0.2,nan,calibration_error,0.197369584441185,0.007429501506703858
multi_label,positive_prototype,1,1,balanced,10.0,0.1,auroc,0.5368596315383911,0.008746334312677387
multi_label,positive_prototype,1,1,balanced,10.0,0.1,auprc,0.2840230196714401,0.004685265074010102
multi_label,positive_prototype,1,1,balanced,10.0,0.1,macro_f1,0.410408357779185,0.002894024159442271
multi_label,positive_prototype,1,1,balanced,10.0,0.1,accuracy,0.2606000006198883,0.0024019012630695897
multi_label,positive_prototype,1,1,balanced,10.0,0.1,nll,0.7137663245201111,0.00016447517730863563
multi_label,positive_prototype,1,1,balanced,10.0,0.1,calibration_error,0.26016250252723694,0.002369023874860612
multi_label,global_negative_centroid,1,1,balanced,10.0,0.5,auroc,0.5267268856366475,0.005775699380264722
multi_label,global_negative_centroid,1,1,balanced,10.0,0.5,auprc,0.27956554194291433,0.004349880468370678
multi_label,global_negative_centroid,1,1,balanced,10.0,0.5,macro_f1,0.4099645733833313,0.002985797266981515
multi_label,global_negative_centroid,1,1,balanced,10.0,0.5,accuracy,0.265711110830307,0.0020795864275672303
multi_label,global_negative_centroid,1,1,balanced,10.0,0.5,nll,0.7049492597579956,6.553536791753078e-05
multi_label,global_negative_centroid,1,1,balanced,10.0,0.5,calibration_error,0.251664274930954,0.002296985377125819
