regime,method,shot,negative_shot,support_protocol,temperature,threshold,class,metric,mean,std
single_label,global_negative_centroid,1,20,abundant_controls,0.5,nan,Cardiomegaly,accuracy,0.6397333383560181,0.008876937611725592
single_label,global_negative_centroid,1,20,abundant_controls,0.5,nan,Cardiomegaly,nll,0.614676034450531,0.007296953802548776
single_label,global_negative_centroid,1,20,abundant_controls,0.5,nan,Cardiomegaly,calibration_error,0.030980299785733224,0.011933612982053548
single_label,random_residual,1,20,abundant_controls,1.0,nan,No Finding,auroc,0.5020103871822357,0.01479692780447843
single_label,random_residual,1,20,abundant_controls,1.0,nan,No Finding,auprc,0.31443421840667723,0.007471605442723212
single_label,random_residual,1,20,abundant_controls,1.0,nan,No Finding,f1,0.33307193517684935,0.014329888009531734
single_label,random_residual,1,20,abundant_controls,1.0,nan,No Finding,accuracy,0.559333324432373,0.002867431399300835
single_label,random_residual,1,20,abundant_controls,1.0,nan,No Finding,nll,0.6450127840042115,0.0027008616827317224
single_label,random_residual,1,20,abundant_controls,1.0,nan,No Finding,calibration_error,0.057446423918008804,0.005347656991051781
single_label,random_residual,1,20,abundant_controls,1.0,nan,Fracture,auroc,0.5559635877609252,0.010087403555927004
single_label,random_residual,1,20,abundant_controls,1.0,nan,Fracture,auprc,0.4056480467319489,0.010589236004478957
single_label,random_residual,1,20,abundant_controls,1.0,nan,Fracture,f1,0.3891983091831207,0.013112493227238531
single_label,random_residual,1,20,abundant_controls,1.0,nan,Fracture,accuracy,0.58253333568573,0.006418708383169347
single_label,random_residual,1,20,abundant_controls,1.0,nan,Fracture,nll,0.6321742415428162,0.0025931301530738955
single_label,random_residual,1,20,abundant_controls,1.0,nan,Fracture,calibration_error,0.028747853264212607,0.008749669546239633
single_label,random_residual,1,20,abundant_controls,1.0,nan,Cardiomegaly,auroc,0.5616335988044738,0.0160682352481698
single_label,random_residual,1,20,abundant_controls,1.0,nan,Cardiomegaly,auprc,0.4123642921447754,0.028137654094120692
single_label,random_residual,1,20,abundant_controls,1.0,nan,Cardiomegaly,f1,0.38757742643356324,0.01656800218394609
single_label,random_residual,1,20,abundant_controls,1.0,nan,Cardiomegaly,accuracy,0.5986666679382324,0.008768627581051385
single_label,random_residual,1,20,abundant_controls,1.0,nan,Cardiomegaly,nll,0.6308302402496337,0.0041758263448501915
single_label,random_residual,1,20,abundant_controls,1.0,nan,Cardiomegaly,calibration_error,0.03045964054763317,0.009447994070718125
single_label,metadata_matched_residual,1,20,abundant_controls,0.5,nan,No Finding,auroc,0.5065127968788147,0.00414914688773883
single_label,metadata_matched_residual,1,20,abundant_controls,0.5,nan,No Finding,auprc,0.3434899508953094,0.011041451877407814
single_label,metadata_matched_residual,1,20,abundant_controls,0.5,nan,No Finding,f1,0.3313421607017517,0.006328081899700055
single_label,metadata_matched_residual,1,20,abundant_controls,0.5,nan,No Finding,accuracy,0.5598666787147522,0.0061896042008533405
single_label,metadata_matched_residual,1,20,abundant_controls,0.5,nan,No Finding,nll,0.6678598165512085,0.0028159758161989032
single_label,metadata_matched_residual,1,20,abundant_controls,0.5,nan,No Finding,calibration_error,0.08990754634141922,0.007320579783018128
single_label,metadata_matched_residual,1,20,abundant_controls,0.5,nan,Fracture,auroc,0.5681268095970153,0.017676156483435786
single_label,metadata_matched_residual,1,20,abundant_controls,0.5,nan,Fracture,auprc,0.37921044826507566,0.01724238365928022
single_label,metadata_matched_residual,1,20,abundant_controls,0.5,nan,Fracture,f1,0.3962583005428314,0.02318228935054846
single_label,metadata_matched_residual,1,20,abundant_controls,0.5,nan,Fracture,accuracy,0.5882666707038879,0.019209958268545248
single_label,metadata_matched_residual,1,20,abundant_controls,0.5,nan,Fracture,nll,0.6420190095901489,0.0074814337450397825
single_label,metadata_matched_residual,1,20,abundant_controls,0.5,nan,Fracture,calibration_error,0.0592719167470932,0.012306699254019777
single_label,metadata_matched_residual,1,20,abundant_controls,0.5,nan,Cardiomegaly,auroc,0.5951584100723266,0.013824719866604647
single_label,metadata_matched_residual,1,20,abundant_controls,0.5,nan,Cardiomegaly,auprc,0.41651895046234133,0.02270344161610211
single_label,metadata_matched_residual,1,20,abundant_controls,0.5,nan,Cardiomegaly,f1,0.40992645621299745,0.02730691908907801
single_label,metadata_matched_residual,1,20,abundant_controls,0.5,nan,Cardiomegaly,accuracy,0.6110666751861572,0.00789655019413772
single_label,metadata_matched_residual,1,20,abundant_controls,0.5,nan,Cardiomegaly,nll,0.6286802411079406,0.007334999739623506
single_label,metadata_matched_residual,1,20,abundant_controls,0.5,nan,Cardiomegaly,calibration_error,0.04496017023921013,0.010843207418757819
single_label,full_embedding_matched_residual,1,20,abundant_controls,0.5,nan,No Finding,auroc,0.5074571967124939,0.00922308267337293
single_label,full_embedding_matched_residual,1,20,abundant_controls,0.5,nan,No Finding,auprc,0.34530186653137207,0.013068457076573226
single_label,full_embedding_matched_residual,1,20,abundant_controls,0.5,nan,No Finding,f1,0.3400290131568909,0.015251823699926306
single_label,full_embedding_matched_residual,1,20,abundant_controls,0.5,nan,No Finding,accuracy,0.5645333290100097,0.010059821116232633
single_label,full_embedding_matched_residual,1,20,abundant_controls,0.5,nan,No Finding,nll,0.6650019764900208,0.0038262147560327517
single_label,full_embedding_matched_residual,1,20,abundant_controls,0.5,nan,No Finding,calibration_error,0.08804906606674194,0.007463454000003602
single_label,full_embedding_matched_residual,1,20,abundant_controls,0.5,nan,Fracture,auroc,0.6031519889831543,0.017119107027982635
single_label,full_embedding_matched_residual,1,20,abundant_controls,0.5,nan,Fracture,auprc,0.4024717748165131,0.020228262344405397
single_label,full_embedding_matched_residual,1,20,abundant_controls,0.5,nan,Fracture,f1,0.4123455882072449,0.025315436503947006
single_label,full_embedding_matched_residual,1,20,abundant_controls,0.5,nan,Fracture,accuracy,0.5991999983787537,0.01607206858230896
single_label,full_embedding_matched_residual,1,20,abundant_controls,0.5,nan,Fracture,nll,0.6266420483589172,0.006890825057162048
single_label,full_embedding_matched_residual,1,20,abundant_controls,0.5,nan,Fracture,calibration_error,0.03665023669600487,0.013881856098254073
single_label,full_embedding_matched_residual,1,20,abundant_controls,0.5,nan,Cardiomegaly,auroc,0.6198751926422119,0.014089067751158384
single_label,full_embedding_matched_residual,1,20,abundant_controls,0.5,nan,Cardiomegaly,auprc,0.43816677331924436,0.02312742886708096
single_label,full_embedding_matched_residual,1,20,abundant_controls,0.5,nan,Cardiomegaly,f1,0.43249098062515257,0.020266130397976305
