pair,target,confounder,method,shot,metric,mean,std
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,10,worst_nuisance_auroc,0.6312800049781799,0.05823790602892235
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,10,worst_nuisance_auprc,0.6049129366874695,0.05490095572543082
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,1,auroc,0.4693000018596649,0.032977424043537984
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,1,auprc,0.49330506920814515,0.04002549793008997
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,1,f1,0.6666666865348816,0.0
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,1,brier,0.2514519512653351,0.0007949006505767272
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,1,ece,0.02890504486858845,0.009449188222909955
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,1,false_positive_c0d1,0.5119966387748718,0.0031207987384722284
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,1,sms_raw_logit,0.9040992736816407,0.06596084792462191
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,1,sms_normalized_logit,1.082895314693451,0.0913418075589934
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,1,support_swap_flip_rate,0.0,0.0
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,1,support_swap_error_gap,0.0,0.0
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,1,worst_support_panel_error,0.5,0.0
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,1,d0_auroc,0.4588799953460693,0.042247262623588064
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,1,d0_auprc,0.490168434381485,0.044197820991250934
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,1,d1_auroc,0.4767199993133545,0.0393104599274849
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,1,d1_auprc,0.5070946335792541,0.0425457201958056
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,1,worst_nuisance_auroc,0.4481599986553192,0.03445181364262985
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,1,worst_nuisance_auprc,0.4811724305152893,0.04099277835103203
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,3,auroc,0.4834600031375885,0.019336703560612185
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,3,auprc,0.5037298917770385,0.03523812803752807
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,3,f1,0.6693877696990966,0.00608452692761516
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,3,brier,0.2516915500164032,0.0004738612669619967
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,3,ece,0.035849519073963165,0.013029564062208373
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,3,false_positive_c0d1,0.5211161375045776,0.008247247361401252
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,3,sms_raw_logit,0.7734086036682128,0.055324831868674006
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,3,sms_normalized_logit,1.0088415026664734,0.12220840345772992
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,3,support_swap_flip_rate,0.014000000059604644,0.03130495181827709
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,3,support_swap_error_gap,0.0019999980926513673,0.00447213169003838
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,3,worst_support_panel_error,0.4990000009536743,0.00223606584501919
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,3,d0_auroc,0.4671999990940094,0.031769176045920215
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,3,d0_auprc,0.5037728607654571,0.049976717243612474
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,3,d1_auroc,0.4984000027179718,0.04611203944503293
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,3,d1_auprc,0.516380923986435,0.03331351763466451
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,3,worst_nuisance_auroc,0.4556799948215485,0.020140313612184272
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,3,worst_nuisance_auprc,0.49206307530403137,0.0451476379596397
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,5,auroc,0.46423999667167665,0.0287920689442079
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,5,auprc,0.4962091624736786,0.026676749407145813
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,5,f1,0.6671171307563781,0.0010072238993383295
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,5,brier,0.2531320333480835,0.0022392583665506627
