method,seed,training_seed,step,train_loss,train_classification,train_invariance,train_budget_excess,validation_total,validation_classification,validation_invariance,validation_budget_excess,validation_uniform_reference,validation_worst_nuisance_auroc,validation_max_sms_budget_ratio,validation_sms_budget_satisfied
anchored_iera,1,2027,475,1.0005660557746887,0.5430743455886841,1.6238433323055506,0.4574917071312666,1.3418433666229248,0.6170447170734406,2.565289616584778,0.7247986197471619,2.6292728185653687,0.6639999747276306,1.3991538459212252,0.0
anchored_iera,1,2027,500,1.0167666733264924,0.5299653089046479,1.7120749118924141,0.48680135421454906,1.34126615524292,0.6170177459716797,2.564739465713501,0.724248468875885,2.6292728185653687,0.6639999747276306,1.3986149971962079,0.0
anchored_iera,1,2027,525,1.0487692308425904,0.5335318315029144,1.8893231347203254,0.5152373932301998,1.340183973312378,0.6169631481170654,2.5637118816375732,0.7232208847999573,2.6292728185653687,0.6639999747276306,1.3977982003668146,0.0
anchored_iera,1,2027,550,1.0690021896362305,0.5790720283985138,1.8605142760276794,0.4899301654100418,1.3391938209533691,0.6169099807739258,2.5627747774124146,0.7222837805747986,2.6292728185653687,0.6639999747276306,1.397197684222373,0.0
anchored_iera,1,2027,575,0.7239810609817505,0.5145944690704346,0.8032546139508486,0.20938659362494946,1.3388466238975525,0.6168908774852753,2.562446713447571,0.7219557166099548,2.6292728185653687,0.6639999747276306,1.3970365484413294,0.0
anchored_iera,1,2027,600,1.300619421005249,0.5854937529563904,2.4763240169733765,0.7151256662607193,1.3379831314086914,0.616848349571228,2.561625838279724,0.7211348414421082,2.6292728185653687,0.6639999747276306,1.3963622092803656,0.0
anchored_iera,1,2027,625,1.1166687625646592,0.5737202805280686,2.013181202132255,0.5429484858550131,1.3372507095336914,0.6168078482151031,2.560933828353882,0.7204428315162659,2.6292728185653687,0.6639999747276306,1.3959108215588587,0.0
anchored_iera,1,2027,650,0.9971442580223083,0.6072571814060211,1.4334510370343923,0.3898870707303286,1.336812674999237,0.6167870461940765,2.560516595840454,0.7200255990028381,2.6292728185653687,0.6639999747276306,1.3956711191136448,0.0
anchored_iera,1,2027,675,0.8598954236507416,0.501672168970108,1.438625471815467,0.3582232494652271,1.3364850878715515,0.6167691051959991,2.5602070093154907,0.7197160124778748,2.6292728185653687,0.6639999747276306,1.3955606810668393,0.0
anchored_iera,1,2027,700,1.0568536007404328,0.5782984328269959,1.776257226150483,0.4785551739297807,1.335682988166809,0.6167244911193848,2.559449553489685,0.7189585566520691,2.6292728185653687,0.6639999747276306,1.3951577674947357,0.0
anchored_iera,1,2027,725,1.0527018690109253,0.5545753109455108,1.752895031645894,0.49812655806541445,1.3349798917770386,0.6166864037513733,2.5587844848632812,0.7182934880256653,2.6292728185653687,0.6639999747276306,1.3946574609068587,0.0
anchored_iera,1,2027,750,1.0362172603607178,0.5488800191879273,1.7114454551041127,0.4873372399806976,1.3344277143478394,0.6166574656963348,2.558261275291443,0.7177702784538269,2.6292728185653687,0.6656000018119812,1.3941627874005635,0.0
anchored_iera,1,2027,775,0.9278522562980652,0.5224141120910645,1.5554909679293631,0.405438149869442,1.3339909315109253,0.6166327595710754,2.557849168777466,0.7173581719398499,2.6292728185653687,0.6656000018119812,1.394007284701102,0.0
anchored_iera,1,2027,800,1.2046814560890198,0.5794659841060639,2.2322952261380853,0.6252154693566263,1.3337674736976624,0.6166189908981323,2.557639479637146,0.71714848279953,2.6292728185653687,0.6656000018119812,1.393996611493894,0.0
anchored_iera,1,2027,825,0.9513956558704376,0.49004204630851744,1.6945731668174266,0.4613536124676466,1.3332405090332031,0.6165860295295715,2.5571454763412476,0.7166544795036316,2.6292728185653687,0.6656000018119812,1.3937115479180457,0.0
anchored_iera,1,2027,850,0.9037242126464844,0.5227880024909973,1.4530112564004958,0.3809362086839974,1.3321471810340881,0.6165265738964081,2.5561115741729736,0.7156205773353577,2.6292728185653687,0.6639999747276306,1.3928642138569183,0.0
anchored_iera,1,2027,875,1.0108247303962707,0.5075121402740479,1.8263764545321464,0.5033125880360604,1.3309545516967773,0.6164622008800507,2.554983377456665,0.7144923806190491,2.6292728185653687,0.6639999747276306,1.3920299248268229,0.0
anchored_iera,1,2027,900,1.1418450379371643,0.5856280350685119,2.02000607252121,0.5562170035392046,1.330102264881134,0.616413801908493,2.5541794300079346,0.7136884331703186,2.6292728185653687,0.6639999747276306,1.391372484910605,0.0
