pair,target,confounder,method,rho,shot,auroc,sms_fixed_reference,auroc_change,sms_reduction,pareto
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.9,5,0.5406274914741516,0.8234553098678589,-0.0011175096035004328,0.2533092278572826,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.9,10,0.5578825116157532,0.8132007122039795,-0.0005474925041198953,0.25379721438069114,False
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.9,1,0.6176524996757508,0.7794284701347352,0.001927495002746582,0.2425081166590255,False
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.9,3,0.6385650038719177,0.7708629488945007,0.00588999986648564,0.25069786322485654,False
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.9,5,0.6742599964141845,0.7343375563621521,0.006875002384185813,0.23408837271562288,False
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.9,10,0.7023400068283081,0.7058007717132568,0.006414997577667281,0.22179326794052234,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.8,1,0.5206199884414673,0.6777404069900512,0.007522481679916426,0.3766946519175407,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.8,3,0.5321974873542785,0.6727080702781677,0.003342485427856423,0.39571547792730366,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.8,5,0.5432775020599365,0.686837089061737,0.0015325009822845237,0.3771915607052636,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.8,10,0.5603600144386292,0.681678307056427,0.001930010318756059,0.3744837602968455,False
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.8,1,0.6242150068283081,0.6418052554130554,0.008490002155303933,0.3762580014854595,False
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.8,3,0.6468950033187866,0.6267568588256835,0.014219999313354492,0.39077334793420637,False
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.8,5,0.6827900052070618,0.5968749284744262,0.015405011177063055,0.3774614361033166,False
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.8,10,0.7097100019454956,0.5702095746994018,0.01378499269485478,0.37129435458293436,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.5,1,0.5214499950408935,0.3535871088504791,0.008352488279342651,0.6748124596284348,False
