partition,cache,model,source_grid,retained_grid,shot,metric,n_seeds,binary_minus_positive_mean,ci95_low,ci95_high
validate,rad_dino,microsoft/rad-dino,14,4,1,auroc,10,0.05473250150680542,0.04136302470513007,0.06810197830848078
validate,rad_dino,microsoft/rad-dino,14,4,1,auprc,10,0.04250615835189819,0.03168930304056255,0.05332301366323384
validate,rad_dino,microsoft/rad-dino,14,4,1,d0_auroc,10,0.08853999376296998,0.06773587558180483,0.10934411194413513
validate,rad_dino,microsoft/rad-dino,14,4,1,d1_auroc,10,0.024059996008872986,-0.0013744163855294936,0.049494408403275465
validate,rad_dino,microsoft/rad-dino,14,4,1,worst_nuisance_auroc,10,0.07814999222755432,0.06482467208444176,0.09147531237066689
validate,rad_dino,microsoft/rad-dino,14,4,3,auroc,10,0.08796750903129577,0.0688278930770557,0.10710712498553585
validate,rad_dino,microsoft/rad-dino,14,4,3,auprc,10,0.07242778241634369,0.05556253903833934,0.08929302579434804
validate,rad_dino,microsoft/rad-dino,14,4,3,d0_auroc,10,0.14747000634670257,0.12926989105422262,0.16567012163918252
validate,rad_dino,microsoft/rad-dino,14,4,3,d1_auroc,10,0.03194999992847443,0.0015601129646267663,0.06233988689232209
validate,rad_dino,microsoft/rad-dino,14,4,3,worst_nuisance_auroc,10,0.12030999958515168,0.1054223596427726,0.13519763952753075
validate,rad_dino,microsoft/rad-dino,14,4,5,auroc,10,0.10009626150131226,0.07885789812210701,0.12133462488051751
validate,rad_dino,microsoft/rad-dino,14,4,5,auprc,10,0.09067342877388,0.07574284820084286,0.10560400934691715
validate,rad_dino,microsoft/rad-dino,14,4,5,d0_auroc,10,0.16542499959468843,0.1343682639408228,0.19648173524855406
validate,rad_dino,microsoft/rad-dino,14,4,5,d1_auroc,10,0.040459999442100526,0.016687277230879552,0.0642327216533215
validate,rad_dino,microsoft/rad-dino,14,4,5,worst_nuisance_auroc,10,0.12973500192165374,0.10246419588987551,0.15700580795343197
validate,rad_dino,microsoft/rad-dino,14,4,10,auroc,10,0.1260262668132782,0.1034547944982761,0.14859773912828028
validate,rad_dino,microsoft/rad-dino,14,4,10,auprc,10,0.10700162649154663,0.08970906670010155,0.1242941862829917
validate,rad_dino,microsoft/rad-dino,14,4,10,d0_auroc,10,0.18768999576568604,0.15706172337798974,0.21831826815338234
validate,rad_dino,microsoft/rad-dino,14,4,10,d1_auroc,10,0.06985999345779419,0.042626831028938564,0.09709315588664981
validate,rad_dino,microsoft/rad-dino,14,4,10,worst_nuisance_auroc,10,0.16269999742507935,0.13285515768842193,0.19254483716173676
test,rad_dino,microsoft/rad-dino,14,14,1,auroc,10,0.012401241064071655,-0.006537813276598917,0.03134029540474223
test,rad_dino,microsoft/rad-dino,14,14,1,auprc,10,0.00844665765762329,-0.013305839459621027,0.030199154774867606
test,rad_dino,microsoft/rad-dino,14,14,1,d0_auroc,10,0.02542000114917755,-0.0026552135381519675,0.05349521583650707
test,rad_dino,microsoft/rad-dino,14,14,1,d1_auroc,10,-0.0017400085926055908,-0.021036875037807615,0.017556857852596433
test,rad_dino,microsoft/rad-dino,14,14,1,worst_nuisance_auroc,10,0.004839989542961121,-0.015705821119619826,0.025385800205542066
test,rad_dino,microsoft/rad-dino,14,14,3,auroc,10,0.03090750575065613,0.010319435400151233,0.051495576101161025
test,rad_dino,microsoft/rad-dino,14,14,3,auprc,10,0.016679638624191286,-0.007582247954799618,0.040941525203182186
test,rad_dino,microsoft/rad-dino,14,14,3,d0_auroc,10,0.048440009355545044,0.025594278827241326,0.07128573988384876
test,rad_dino,microsoft/rad-dino,14,14,3,d1_auroc,10,0.015230008959770202,-0.013812314087803484,0.04427233200734389
test,rad_dino,microsoft/rad-dino,14,14,3,worst_nuisance_auroc,10,0.0244000107049942,0.0038312207338522496,0.04496880067613615
test,rad_dino,microsoft/rad-dino,14,14,5,auroc,10,0.0363150030374527,0.013123750066484991,0.05950625600842041
test,rad_dino,microsoft/rad-dino,14,14,5,auprc,10,0.02970369756221771,0.0019800503944729098,0.05742734472996251
test,rad_dino,microsoft/rad-dino,14,14,5,d0_auroc,10,0.057409995794296266,0.03645952568127114,0.07836046590732139
test,rad_dino,microsoft/rad-dino,14,14,5,d1_auroc,10,0.01569001078605652,-0.020274703046543132,0.05165472461865617
test,rad_dino,microsoft/rad-dino,14,14,5,worst_nuisance_auroc,10,0.023510003089904787,-0.0086435709164294,0.055663577096238974
test,rad_dino,microsoft/rad-dino,14,14,10,auroc,10,0.057963746786117556,0.030929960638825915,0.0849975329334092
test,rad_dino,microsoft/rad-dino,14,14,10,auprc,10,0.04935203194618225,0.02021570196840086,0.07848836192396363
test,rad_dino,microsoft/rad-dino,14,14,10,d0_auroc,10,0.08496499955654144,0.0685577993971982,0.10137219971588468
test,rad_dino,microsoft/rad-dino,14,14,10,d1_auroc,10,0.03095998764038086,-0.01467020390137068,0.0765901791821324
test,rad_dino,microsoft/rad-dino,14,14,10,worst_nuisance_auroc,10,0.04040499627590179,0.002283349339041299,0.07852664321276229
validate,rad_dino,microsoft/rad-dino,14,14,1,auroc,10,0.051217496395111084,0.037280422197076994,0.06515457059314518
validate,rad_dino,microsoft/rad-dino,14,14,1,auprc,10,0.03999010324478149,0.02912146183593947,0.050858744653623514
validate,rad_dino,microsoft/rad-dino,14,14,1,d0_auroc,10,0.08177999556064605,0.060477708553768286,0.10308228256752382
validate,rad_dino,microsoft/rad-dino,14,14,1,d1_auroc,10,0.0238199919462204,2.201116060007377e-05,0.04761797273184072
validate,rad_dino,microsoft/rad-dino,14,14,1,worst_nuisance_auroc,10,0.07200999855995179,0.05698005462347705,0.08703994249642652
validate,rad_dino,microsoft/rad-dino,14,14,3,auroc,10,0.0828637421131134,0.06406067312175034,0.10166681110447645
validate,rad_dino,microsoft/rad-dino,14,14,3,auprc,10,0.06912415623664855,0.05292388050704906,0.08532443196624805
validate,rad_dino,microsoft/rad-dino,14,14,3,d0_auroc,10,0.13752000629901887,0.11969916305989901,0.1553408495381387
validate,rad_dino,microsoft/rad-dino,14,14,3,d1_auroc,10,0.03169500231742859,0.0007567732631783598,0.06263323137167882
validate,rad_dino,microsoft/rad-dino,14,14,3,worst_nuisance_auroc,10,0.10965000689029694,0.09164526811526214,0.12765474566533175
validate,rad_dino,microsoft/rad-dino,14,14,5,auroc,10,0.09374998807907105,0.0736058671993247,0.1138941089588174
validate,rad_dino,microsoft/rad-dino,14,14,5,auprc,10,0.08457863330841064,0.07056607377547272,0.09859119284134857
validate,rad_dino,microsoft/rad-dino,14,14,5,d0_auroc,10,0.15437999367713928,0.12509531127553056,0.183664676078748
validate,rad_dino,microsoft/rad-dino,14,14,5,d1_auroc,10,0.03888999819755554,0.014328344470956229,0.06345165192415486
validate,rad_dino,microsoft/rad-dino,14,14,5,worst_nuisance_auroc,10,0.12013999223709107,0.09255904735449286,0.14772093711968928
validate,rad_dino,microsoft/rad-dino,14,14,10,auroc,10,0.11898126006126404,0.09603030512205521,0.14193221500047287
validate,rad_dino,microsoft/rad-dino,14,14,10,auprc,10,0.1010453462600708,0.08387080606521402,0.11821988645492759
validate,rad_dino,microsoft/rad-dino,14,14,10,d0_auroc,10,0.17646000683307647,0.14408003731415286,0.20883997635200008
validate,rad_dino,microsoft/rad-dino,14,14,10,d1_auroc,10,0.0670000046491623,0.03953010829911688,0.09446990099920771
validate,rad_dino,microsoft/rad-dino,14,14,10,worst_nuisance_auroc,10,0.1526600033044815,0.1200465195410519,0.18527348706791114
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,1,auroc,10,0.05655249357223511,0.0368087966324743,0.07629619051199592
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,1,auprc,10,0.05174397528171539,0.035238173926332245,0.06824977663709854
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,1,d0_auroc,10,0.08313000500202179,0.059107084889076504,0.10715292511496707
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,1,d1_auroc,10,0.03149999678134918,0.009091310339743218,0.053908683222955146
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,1,worst_nuisance_auroc,10,0.07479000091552734,0.058667849030698244,0.09091215280035644
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,3,auroc,10,0.08978624641895294,0.06632774129701731,0.11324475154088857
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,3,auprc,10,0.08092902302742004,0.06333144015541398,0.0985266058994261
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,3,d0_auroc,10,0.14208500683307648,0.12313878170297077,0.1610312319631822
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,3,d1_auroc,10,0.03771000802516937,0.003654167548075099,0.07176584850226364
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,3,worst_nuisance_auroc,10,0.10789000391960143,0.07512260318526007,0.1406574046539428
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,5,auroc,10,0.10483000874519348,0.08159056984254959,0.12806944764783737
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,5,auprc,10,0.08986178040504456,0.06681721384858429,0.11290634696150482
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,5,d0_auroc,10,0.17143999934196472,0.15259350505707558,0.19028649362685385
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,5,d1_auroc,10,0.03958000540733338,0.002050645278333478,0.07710936553633327
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,5,worst_nuisance_auroc,10,0.11834000647068024,0.08004417720923446,0.15663583573212603
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,10,auroc,10,0.11596500873565674,0.09366218187988759,0.13826783559142589
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,10,auprc,10,0.09815278053283691,0.07912239021627765,0.11718317084939617
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,10,d0_auroc,10,0.19506999850273132,0.17445356022043013,0.21568643678503252
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,10,d1_auroc,10,0.041650000214576724,0.005033061795577047,0.0782669386335764
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,10,worst_nuisance_auroc,10,0.1304599940776825,0.08760077908929845,0.17331920906606654
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,1,auroc,10,0.02821875214576721,0.015332681710177293,0.04110482258135713
