pair,target,confounder,method,rho,shot,seed,metric,value
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,10,0,sms_fixed_reference,0.931799054145813
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,10,0,ranking_disagreement,0.39835840463638306
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,10,0,support_swap_flip_rate,0.29750001430511475
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,10,0,d0_auroc,0.6887999773025513
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,10,0,d1_auroc,0.6825000047683716
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,10,0,worst_nuisance_auroc,0.6825000047683716
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.7,1,0,auroc,0.5261499881744385
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.7,1,0,auprc,0.5125724077224731
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.7,1,0,f1,0.6666666865348816
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.7,1,0,brier,0.249799907207489
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.7,1,0,ece,0.00041794776916503906
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.7,1,0,sms_raw_logit,0.027406038716435432
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.7,1,0,sms_fixed_reference,0.6828261017799377
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.7,1,0,ranking_disagreement,0.543508768081665
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.7,1,0,support_swap_flip_rate,0.0
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.7,1,0,d0_auroc,0.5425999760627747
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.7,1,0,d1_auroc,0.512499988079071
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.7,1,0,worst_nuisance_auroc,0.512499988079071
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.7,3,0,auroc,0.5220749974250793
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.7,3,0,auprc,0.5193239450454712
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.7,3,0,f1,0.6644407510757446
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.7,3,0,brier,0.25172892212867737
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.7,3,0,ece,0.048941388726234436
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.7,3,0,sms_raw_logit,0.014297758229076862
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.7,3,0,sms_fixed_reference,0.7166140675544739
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.7,3,0,ranking_disagreement,0.5232712626457214
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.7,3,0,support_swap_flip_rate,0.0925000011920929
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.7,3,0,d0_auroc,0.5453000068664551
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.7,3,0,d1_auroc,0.4984999895095825
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.7,3,0,worst_nuisance_auroc,0.4984999895095825
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.7,5,0,auroc,0.49012500047683716
