partition,pair,target,confounder,method,candidate,witness_fraction,gamma,shot,metric,n_seeds,mean,std,ci95_low,ci95_high
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_rho03,anchor_rho03,,,3,worst_nuisance_auroc,5,0.5423799991607666,0.01894998331593006,0.5257696064209393,0.558990391900594
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_rho03,anchor_rho03,,,3,border_max_fraction,5,0.2270000010728836,0.02763603138692361,0.20277595150756783,0.25122405063819936
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_rho03,anchor_rho03,,,3,auroc,5,0.5391625046730042,0.018418395505546012,0.5230180691933483,0.5553069401526601
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_rho03,anchor_rho03,,,3,auprc,5,0.538544774055481,0.021157358378738677,0.5199995317642807,0.5570900163466812
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_rho03,anchor_rho03,,,3,f1,5,0.6664437174797058,0.0004985739642519482,0.6660066981315612,0.6668807368278503
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_rho03,anchor_rho03,,,3,brier,5,0.2492527633905411,0.0008649188021792901,0.24849462863375837,0.2500108981473238
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_rho03,anchor_rho03,,,3,ece,5,0.024017120990902186,0.017066981768720513,0.009057251879903591,0.03897699010190078
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_rho03,anchor_rho03,,,3,sms_raw_logit,5,0.004740643594413996,0.0006150303059822866,0.004201545762033632,0.0052797414267943595
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_rho03,anchor_rho03,,,3,sms_fixed_reference,5,0.25039894580841066,0.033362001159867316,0.22115586244452573,0.2796420291722956
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_rho03,anchor_rho03,,,3,ranking_disagreement,5,0.4902267098426819,0.03431304326331768,0.4601500013200274,0.5203034183653363
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_rho03,anchor_rho03,,,3,support_swap_flip_rate,5,0.017499999701976778,0.03913118893984613,-0.016799999713897694,0.05179999911785125
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_rho03,anchor_rho03,,,3,d0_auroc,5,0.5598199963569641,0.023045866030332075,0.5396194041236472,0.580020588590281
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_rho03,anchor_rho03,,,3,d1_auroc,5,0.5193600177764892,0.02381067614345666,0.4984890399212646,0.5402309956317138
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_rho03,anchor_rho03,,,3,worst_nuisance_auroc,5,0.5193600177764892,0.02381067614345666,0.4984890399212646,0.5402309956317138
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_rho03,anchor_rho03,,,3,border_max_fraction,5,0.24699999690055846,0.04600950337511103,0.20667088905471878,0.2873291047463981
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,dn4_hard_knn,dn4_hard_knn,,,3,auroc,5,0.5571750044822693,0.01665037847120823,0.5425803042620828,0.5717697047024558
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,dn4_hard_knn,dn4_hard_knn,,,3,auprc,5,0.543907356262207,0.015577072450766038,0.5302534502491889,0.5575612622752251
