pair,target,confounder,method,shot,metric,mean,std
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,f1,0.6666666865348816,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,brier,0.2501660645008087,7.406602467546788e-05
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,ece,0.022414469718933107,4.536055623432285e-05
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,false_positive_c0d1,0.522331964969635,0.00015940690536235107
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,sms_raw_logit,0.02873370386660099,0.0022248211950933847
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,sms_normalized_logit,0.563302743434906,0.042121541881153385
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,support_swap_flip_rate,0.0,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,support_swap_error_gap,0.0,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,worst_support_panel_error,0.5,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,d0_auroc,0.7011199951171875,0.04075528744297972
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,d0_auprc,0.6707461476325989,0.04587968389423583
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,d1_auroc,0.6244799971580506,0.06296054660998769
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,d1_auprc,0.5968994617462158,0.08022366328134338
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,worst_nuisance_auroc,0.6189599990844726,0.050985166149329325
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,worst_nuisance_auprc,0.5904924273490906,0.06796580128647366
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,auroc,0.671720004081726,0.04356659710233301
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,auprc,0.6334052324295044,0.045796910507526066
