pair,target,confounder,method,shot,seed,temperature,threshold,metric,value
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,1,0,10.0,0.1,support_swap_error_gap,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,1,0,10.0,0.1,worst_support_panel_error,0.5
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,1,0,10.0,0.1,d0_auroc,0.6371999979019165
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,1,0,10.0,0.1,d0_auprc,0.5838345289230347
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,1,0,10.0,0.1,d1_auroc,0.6363999843597412
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,1,0,10.0,0.1,d1_auprc,0.5674852132797241
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,1,0,10.0,0.1,worst_nuisance_auroc,0.6363999843597412
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,1,0,10.0,0.1,worst_nuisance_auprc,0.5674852132797241
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,0,10.0,0.1,auroc,0.6597999930381775
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,0,10.0,0.1,auprc,0.6018703579902649
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,0,10.0,0.1,f1,0.6666666865348816
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,0,10.0,0.1,brier,0.25012531876564026
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,0,10.0,0.1,ece,0.022345423698425293
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,0,10.0,0.1,false_positive_c0d1,0.522317111492157
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,0,10.0,0.1,sms_raw_logit,0.036286611109972
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,0,10.0,0.1,sms_normalized_logit,0.6635186076164246
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,0,10.0,0.1,support_swap_flip_rate,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,0,10.0,0.1,support_swap_error_gap,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,0,10.0,0.1,worst_support_panel_error,0.5
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,0,10.0,0.1,d0_auroc,0.7279999852180481
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,0,10.0,0.1,d0_auprc,0.7032964825630188
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,0,10.0,0.1,d1_auroc,0.5863999724388123
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,0,10.0,0.1,d1_auprc,0.5340784788131714
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,0,10.0,0.1,worst_nuisance_auroc,0.5863999724388123
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,0,10.0,0.1,worst_nuisance_auprc,0.5340784788131714
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,0,10.0,0.1,auroc,0.647599995136261
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,0,10.0,0.1,auprc,0.574718177318573
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,0,10.0,0.1,f1,0.6666666865348816
